,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14,n1_high,n2_low,signal,keep,benchmark_profit,trend_profit
2013-08-08,153.48,158.88,150.46,14.341,154.355,134.23,27245755,20130808,3,12,8.70283818531663,9.161821979434938,153.48,121.7,,0.0,0.13401551887920693,0.0
2013-08-09,153.0,155.95,151.25,-0.313,152.4,153.48,8935929,20130809,4,13,10.309229597612386,11.097290775789478,153.48,121.7,,0.0,-0.0031323439863161057,-0.0
2013-08-12,147.38,150.5,142.05,-3.673,149.43,153.0,14910011,20130812,0,14,10.443185886544637,11.147523798310242,153.48,119.56,,0.0,-0.03742363605358227,-0.0
2013-08-13,145.43,149.84,144.45,-1.3230000000000002,149.5,147.38,8747775,20130813,1,15,10.223203502561676,10.762146399784276,153.48,119.56,,0.0,-0.01331941414923441,-0.0
2013-08-14,139.36,144.84,138.05,-4.1739999999999995,142.72,145.43,11691659,20130814,2,16,10.12197582848593,10.5528145916675,153.48,120.19,,0.0,-0.04263435808542603,-0.0
2013-08-15,139.67,143.6,135.0,0.222,136.43,139.36,10188059,20130815,3,17,10.156118970015509,10.535090668086701,153.48,126.61,,0.0,0.002221984213487083,0.0
2013-08-16,142.0,143.91,140.97,1.6680000000000001,141.63,139.67,7104690,20130816,4,18,9.546851728364372,9.680737215842917,153.48,128.18,,0.0,0.01654456028358079,0.0
2013-08-19,144.9,147.38,142.83,2.042,143.42700000000002,142.0,8034365,20130819,0,19,9.350709987658483,9.40204399623689,153.48,128.18,,0.0,0.020216791725376045,0.0
2013-08-20,149.58,149.78,147.0,3.23,148.65,144.9,6415071,20130820,1,20,9.185607820486753,9.174500572484385,153.48,131.45,,0.0,0.031787517436884793,0.0
2013-08-21,147.86,150.309,146.25,-1.15,150.0,149.58,6262521,20130821,2,21,8.79419653656506,8.649914101656286,153.48,132.36,,0.0,-0.011565486634567555,-0.0
2013-08-22,157.1,157.48,148.14,6.249,149.22,147.86,10589420,20130822,3,22,8.85005297768633,8.7454810990006,157.1,132.36,,0.0,0.06061666513262142,0.0
2013-08-23,161.839,162.3,155.0,3.017,157.0,157.1,12928189,20130823,4,23,9.415652844409701,9.530047936109236,161.839,132.36,,0.0,0.02971946863665965,0.0
2013-08-26,164.22,173.0,160.25,1.4709999999999999,165.15,161.839,24160256,20130826,0,24,10.065078322175369,10.403791542826392,164.22,132.36,,0.0,0.0146049783824076,0.0
2013-08-27,167.01,168.8,160.95,1.699,162.3,164.22,17562747,20130827,1,25,9.845263940356077,10.054834651523219,167.01,132.36,,0.0,0.016846698582883256,0.0
2013-08-28,166.45,171.5,163.25,-0.335,169.06,167.01,14738866,20130828,2,26,9.688264383091392,9.809030676217183,167.01,135.0,,0.0,-0.003358726842492188,-0.0
2013-08-29,166.06,167.75,162.51,-0.23399999999999999,164.215,166.45,9444030,20130829,3,27,9.253745733307458,9.188539172158093,167.01,135.0,,0.0,-0.002345795187149272,-0.0
2013-08-30,169.0,169.21,163.96,1.77,166.37,166.06,11025132,20130830,4,28,8.86528021170592,8.654988871360707,169.0,135.0,,0.0,0.017549546089188857,0.0
2013-09-03,168.94,173.7,166.4,-0.036000000000000004,173.4,169.0,12055250,20130903,1,29,8.74711948101811,8.517782296195668,173.7,135.0,,0.0,-0.0003550926237228615,-0.0
2013-09-04,170.62,171.62,165.56,0.9940000000000001,169.77,168.94,11473635,20130904,2,30,8.489409542999,8.186150903004357,173.7,135.0,,0.0,0.009895239181198114,0.0
2013-09-05,169.93,171.5,168.25,-0.40399999999999997,170.1,170.62,6692752,20130905,3,31,7.989418802735903,7.521172895397453,173.7,135.0,,0.0,-0.004052273934534604,-0.0
2013-09-06,166.97,169.7,165.15,-1.742,168.57,169.93,8618775,20130906,4,32,7.750075376255999,7.245228805215714,173.7,140.97,,0.0,-0.01757243198514845,-0.0
2013-09-09,160.7,164.5,158.51,-3.755,163.12,166.97,14342529,20130909,0,33,8.097295974281785,7.8061891401441335,173.7,142.83,,0.0,-0.038274882817398846,-0.0
2013-09-10,166.37,167.5,160.63,3.528,161.45,160.7,8967086,20130910,1,34,7.981606921856226,7.680524390464035,173.7,146.25,,0.0,0.03467495092818464,0.0
2013-09-11,163.52,167.895,162.13,-1.713,166.41,166.37,5831616,20130911,2,35,7.907706586105902,7.6154108001646925,173.7,146.25,,0.0,-0.01727891665631185,-0.0
